"","state","county","primary_city","longitude","latitude","estimated_population","name","Value","Category.Range"
"3205","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3206","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3207","NY","New York","New York",-73.99,40.71,5755,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3208","NY","New York","New York",-73.99,40.71,2180,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3209","NY","New York","New York",-73.99,40.71,3575,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3210","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3211","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3212","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3213","NY","Richmond","Staten Island",-74.14,40.58,26662,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3214","NY","Richmond","Staten Island",-74.14,40.58,12355,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3215","NY","Richmond","Staten Island",-74.14,40.58,18615,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3216","NY","Richmond","Staten Island",-74.14,40.58,31225,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3217","NY","Richmond","Staten Island",-74.14,40.58,31760,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3218","NY","Richmond","Staten Island",-74.14,40.58,45786,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3219","NY","Richmond","Staten Island",-74.14,40.58,10873,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3220","NY","Richmond","Staten Island",-74.14,40.58,23052,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3221","NY","Richmond","Staten Island",-74.14,40.58,25371,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3222","NY","Richmond","Staten Island",-74.14,40.58,17604,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3223","NY","Richmond","Staten Island",-74.14,40.58,0,"new york,richmond",514.9,"473.9 - 541.2 (647)"
