State,county,Percent _bachelor
KY,Grant County,13.6
KY,Graves County,16.3
KY,Grayson County,10.4
KY,Green County,12.0
KY,Greenup County,17.2
KY,Hancock County,11.0
KY,Hardin County,23.0
KY,Harlan County,10.8
KY,Harrison County,14.8
KY,Hart County,11.8
KY,Henderson County,17.9
KY,Henry County,12.2
KY,Hickman County,17.6
KY,Hopkins County,16.0
KY,Jackson County,12.2
KY,Jefferson County,32.7
KY,Jessamine County,29.5
KY,Johnson County,14.9
KY,Kenton County,30.4
KY,Knott County,12.9
KY,Knox County,13.1
KY,Larue County,10.1
KY,Laurel County,13.4
KY,Lawrence County,10.0
KY,Lee County,10.3
KY,Leslie County,9.7
KY,Letcher County,11.7
KY,Lewis County,11.0
KY,Lincoln County,11.1
KY,Livingston County,11.4
KY,Logan County,15.0
KY,Lyon County,15.9
KY,McCracken County,24.6
KY,McCreary County,6.9
KY,McLean County,12.0
KY,Madison County,30.5
KY,Magoffin County,9.7
KY,Marion County,13.2
KY,Marshall County,18.8
KY,Martin County,8.5
KY,Mason County,18.9
KY,Meade County,18.2
KY,Menifee County,11.3
KY,Mercer County,17.5
KY,Metcalfe County,13.1
KY,Monroe County,12.9
KY,Montgomery County,16.3
KY,Morgan County,13.6
KY,Muhlenberg County,11.1
KY,Nelson County,17.2
KY,Nicholas County,10.2
KY,Ohio County,13.3
KY,Oldham County,42.2
KY,Owen County,9.9
KY,Owsley County,16.2
KY,Pendleton County,11.3
KY,Perry County,12.3
KY,Pike County,13.0
KY,Powell County,14.7
KY,Pulaski County,15.3
KY,Robertson County,16.0
KY,Rockcastle County,10.6
KY,Rowan County,26.6
KY,Russell County,12.9
KY,Scott County,28.6
KY,Shelby County,24.2
KY,Simpson County,14.2
KY,Spencer County,20.2
KY,Taylor County,19.2
KY,Todd County,12.9
KY,Trigg County,16.9
KY,Trimble County,12.0
KY,Union County,11.0
KY,Warren County,30.6
KY,Washington County,17.7
KY,Wayne County,12.8
KY,Webster County,9.8
KY,Whitley County,19.2
KY,Wolfe County,7.6
KY,Woodford County,32.9
LA,Lousiana,23.7
LA,Acadia Parish,13.4
LA,Allen Parish,12.7
LA,Ascension Parish,26.8
LA,Assumption Parish,10.2
LA,Avoyelles Parish,12.1
LA,Beauregard Parish,17.5
LA,Bienville Parish,12.4
LA,Bossier Parish,25.6
LA,Caddo Parish,23.5
LA,Calcasieu Parish,21.9
LA,Caldwell Parish,14.2
LA,Cameron Parish,11.6
LA,Catahoula Parish,11.7
LA,Claiborne Parish,14.7
LA,Concordia Parish,12.8
LA,De Soto Parish,14.2
LA,East Baton Rouge Parish,34.7
LA,East Carroll Parish,8.5
LA,East Feliciana Parish,12.6
LA,Evangeline Parish,12.8
LA,Franklin Parish,11.9
LA,Grant Parish,8.4
LA,Iberia Parish,12.7
LA,Iberville Parish,14.5
LA,Jackson Parish,13.5
LA,Jefferson Parish,26.1
LA,Jefferson Davis Parish,15.9
LA,Lafayette Parish,32.1
LA,Lafourche Parish,16.6
LA,La Salle Parish,12.2
LA,Lincoln Parish,36.5
LA,Livingston Parish,18.3
LA,Madison Parish,12.6
LA,Morehouse Parish,13.0
LA,Natchitoches Parish,17.8
LA,Orleans Parish,36.8
LA,Ouachita Parish,24.3
LA,Plaquemines Parish,19.6
LA,Pointe Coupee Parish,15.2
LA,Rapides Parish,20.5
LA,Red River Parish,13.9
LA,Richland Parish,13.5
LA,Sabine Parish,13.1
LA,St. Bernard Parish,12.3
LA,St. Charles Parish,24.2
LA,St. Helena Parish,13.9
LA,St. James Parish,14.3
LA,St. John the Baptist Parish,16.3
LA,St. Landry Parish,14.2
LA,St. Martin Parish,14.4
LA,St. Mary Parish,10.6
LA,St. Tammany Parish,33.5
LA,Tangipahoa Parish,19.4
LA,Tensas Parish,10.5
LA,Terrebonne Parish,15.8
LA,Union Parish,14.6
LA,Vermilion Parish,14.2
LA,Vernon Parish,16.8
LA,Washington Parish,11.7
LA,Webster Parish,15.1
LA,West Baton Rouge Parish,20.6
LA,West Carroll Parish,12.6
LA,West Feliciana Parish,22.2
LA,Winn Parish,14.4
ME,Maine,30.9
ME,Androscoggin County,22.2
ME,Aroostook County,18.9
ME,Cumberland County,46.7
ME,Franklin County,25.4
ME,Hancock County,32.3
ME,Kennebec County,27.1
ME,Knox County,31.0
ME,Lincoln County,32.7
ME,Oxford County,19.0
ME,Penobscot County,27.1
ME,Piscataquis County,18.3
ME,Sagadahoc County,35.5
ME,Somerset County,16.5
ME,Waldo County,29.6
ME,Washington County,20.8
ME,York County,31.4
MD,Maryland,39.6
MD,Allegany County,18.3
MD,Anne Arundel County,40.9
MD,Baltimore County,38.6
MD,Calvert County,31.1
MD,Caroline County,16.9
MD,Carroll County,35.6
MD,Cecil County,22.8
MD,Charles County,28.9
MD,Dorchester County,20.8
MD,Frederick County,40.6
MD,Garrett County,20.1
MD,Harford County,35.8
MD,Howard County,61.4
MD,Kent County,34.2
MD,Montgomery County,59.0
MD,'Prince George''s County',32.7
MD,'Queen Anne''s County',34.9
MD,'St. Mary''s County',31.5
MD,Somerset County,15.7
MD,Talbot County,38.6
MD,Washington County,21.4
MD,Wicomico County,26.8
MD,Worcester County,30.4
MD,Baltimore city,31.2
MA,Massachusetts,42.9
MA,Barnstable County,42.8
MA,Berkshire County,33.4
MA,Bristol County,28.0
MA,Dukes County,44.2
MA,Essex County,39.4
MA,Franklin County,37.2
MA,Hampden County,27.2
MA,Hampshire County,46.5
MA,Middlesex County,55.2
MA,Nantucket County,51.7
MA,Norfolk County,53.0
MA,Plymouth County,36.7
MA,Suffolk County,44.8
MA,Worcester County,35.9
MI,Michigan,28.6
MI,Alcona County,15.7
MI,Alger County,17.4
MI,Allegan County,22.7
MI,Alpena County,17.5
MI,Antrim County,28.2
MI,Arenac County,11.8
MI,Baraga County,14.5
MI,Barry County,20.1
MI,Bay County,18.9
MI,Benzie County,29.3
MI,Berrien County,27.7
MI,Branch County,14.2
MI,Calhoun County,21.2
MI,Cass County,19.1
MI,Charlevoix County,31.0
MI,Cheboygan County,20.5
MI,Chippewa County,21.0
MI,Clare County,12.1
MI,Clinton County,31.4
MI,Crawford County,18.8
MI,Delta County,21.5
MI,Dickinson County,26.5
MI,Eaton County,26.8
MI,Emmet County,33.7
MI,Genesee County,20.9
MI,Gladwin County,13.8
MI,Gogebic County,19.8
MI,Grand Traverse County,35.1
MI,Gratiot County,14.0
MI,Hillsdale County,17.0
MI,Houghton County,33.2
MI,Huron County,15.5
MI,Ingham County,38.5
MI,Ionia County,16.1
MI,Iosco County,16.3
MI,Iron County,18.8
MI,Isabella County,29.2
MI,Jackson County,21.4
MI,Kalamazoo County,38.1
MI,Kalkaska County,11.9
MI,Kent County,35.2
MI,Keweenaw County,30.4
MI,Lake County,11.3
MI,Lapeer County,17.8
MI,Leelanau County,42.8
MI,Lenawee County,20.9
MI,Livingston County,34.8
MI,Luce County,16.3
MI,Mackinac County,21.8
MI,Macomb County,24.5
MI,Manistee County,20.0
MI,Marquette County,31.5
MI,Mason County,23.2
MI,Mecosta County,21.9
MI,Menominee County,16.7
MI,Midland County,34.0
MI,Missaukee County,13.2
MI,Monroe County,19.1
MI,Montcalm County,13.0
MI,Montmorency County,12.8
MI,Muskegon County,19.1
MI,Newaygo County,15.9
MI,Oakland County,46.4
MI,Oceana County,18.8
MI,Ogemaw County,12.1
MI,Ontonagon County,17.5
MI,Osceola County,13.8
MI,Oscoda County,10.7
MI,Otsego County,24.2
MI,Ottawa County,33.5
MI,Presque Isle County,17.3
MI,Roscommon County,14.9
MI,Saginaw County,21.1
MI,St. Clair County,18.3
MI,St. Joseph County,15.7
MI,Sanilac County,14.2
MI,Schoolcraft County,15.8
MI,Shiawassee County,17.2
MI,Tuscola County,13.6
MI,Van Buren County,20.9
MI,Washtenaw County,55.2
MI,Wayne County,23.3
MI,Wexford County,17.9
MN,Minnesota,35.4
MN,Aitkin County,17.4
MN,Anoka County,29.7
MN,Becker County,24.5
MN,Beltrami County,28.1
MN,Benton County,22.6
MN,Big Stone County,15.0
MN,Blue Earth County,33.6
MN,Brown County,20.4
MN,Carlton County,22.5
MN,Carver County,48.1
MN,Cass County,22.4
MN,Chippewa County,19.1
MN,Chisago County,20.5
MN,Clay County,33.5
MN,Clearwater County,16.1
MN,Cook County,42.4
MN,Cottonwood County,21.2
MN,Crow Wing County,24.3
MN,Dakota County,41.8
MN,Dodge County,24.4
MN,Douglas County,25.4
MN,Faribault County,17.8
MN,Fillmore County,21.1
MN,Freeborn County,16.7
MN,Goodhue County,25.0
MN,Grant County,19.4
MN,Hennepin County,49.2
MN,Houston County,24.0
MN,Hubbard County,27.2
MN,Isanti County,17.7
MN,Itasca County,22.7
MN,Jackson County,22.0
MN,Kanabec County,14.6
MN,Kandiyohi County,23.4
MN,Kittson County,23.9
MN,Koochiching County,17.6
MN,Lac qui Parle County,19.1
MN,Lake County,29.8
MN,Lake of the Woods County,19.3
MN,Le Sueur County,22.4
MN,Lincoln County,18.4
MN,Lyon County,25.4
MN,McLeod County,17.9
MN,Mahnomen County,12.2
MN,Marshall County,19.0
MN,Martin County,20.1
MN,Meeker County,18.8
MN,Mille Lacs County,15.3
MN,Morrison County,17.1
MN,Mower County,21.7
MN,Murray County,18.9
MN,Nicollet County,32.6
MN,Nobles County,15.3
MN,Norman County,18.4
MN,Olmsted County,44.0
MN,Otter Tail County,25.1
MN,Pennington County,20.1
MN,Pine County,14.5
MN,Pipestone County,21.4
MN,Polk County,24.1
MN,Pope County,21.9
MN,Ramsey County,41.9
MN,Red Lake County,16.9
MN,Redwood County,18.6
MN,Renville County,14.4
MN,Rice County,27.5
MN,Rock County,23.0
MN,Roseau County,19.3
MN,St. Louis County,28.7
MN,Scott County,39.3
MN,Sherburne County,27.4
MN,Sibley County,16.7
MN,Stearns County,27.8
MN,Steele County,25.0
MN,Stevens County,29.3
MN,Swift County,18.0
MN,Todd County,15.5
MN,Traverse County,17.0
MN,Wabasha County,21.9
MN,Wadena County,13.6
MN,Waseca County,20.5
MN,Washington County,43.2
MN,Watonwan County,15.3
MN,Wilkin County,23.5
MN,Winona County,29.8
MN,Wright County,28.4
MN,Yellow Medicine County,16.1
MS,Mississippi,21.8
MS,Adams County,17.8
MS,Alcorn County,16.4
MS,Amite County,13.1
MS,Attala County,13.6
MS,Benton County,10.3
MS,Bolivar County,23.8
MS,Calhoun County,11.3
MS,Carroll County,14.5
MS,Chickasaw County,12.4
MS,Choctaw County,17.7
MS,Claiborne County,19.1
MS,Clarke County,11.7
MS,Clay County,20.1
MS,Coahoma County,17.1
MS,Copiah County,14.2
MS,Covington County,17.4
MS,DeSoto County,24.1
MS,Forrest County,27.6
MS,Franklin County,15.3
MS,George County,12.6
MS,Greene County,8.6
MS,Grenada County,19.7
MS,Hancock County,23.2
MS,Harrison County,22.3
MS,Hinds County,29.1
MS,Holmes County,9.9
MS,Humphreys County,14.4
MS,Issaquena County,6.7
MS,Itawamba County,13.4
MS,Jackson County,20.8
MS,Jasper County,14.5
MS,Jefferson County,15.0
MS,Jefferson Davis County,13.9
MS,Jones County,20.5
MS,Kemper County,11.0
MS,Lafayette County,43.9
MS,Lamar County,35.2
MS,Lauderdale County,20.0
MS,Lawrence County,15.6
MS,Leake County,12.8
MS,Lee County,23.9
MS,Leflore County,17.5
MS,Lincoln County,16.0
MS,Lowndes County,23.7
MS,Madison County,47.7
MS,Marion County,12.1
MS,Marshall County,13.7
MS,Monroe County,17.2
MS,Montgomery County,20.4
MS,Neshoba County,12.2
MS,Newton County,16.6
MS,Noxubee County,13.5
MS,Oktibbeha County,43.5
MS,Panola County,14.9
MS,Pearl River County,16.4
MS,Perry County,11.0
MS,Pike County,15.5
MS,Pontotoc County,15.9
MS,Prentiss County,12.2
MS,Quitman County,11.4
MS,Rankin County,29.2
MS,Scott County,12.7
MS,Sharkey County,18.7
MS,Simpson County,12.6
MS,Smith County,12.5
MS,Stone County,14.5
MS,Sunflower County,15.4
MS,Tallahatchie County,11.4
MS,Tate County,17.4
MS,Tippah County,15.5
MS,Tishomingo County,10.0
MS,Tunica County,16.8
MS,Union County,14.8
MS,Walthall County,13.4
MS,Warren County,23.3
MS,Washington County,18.8
MS,Wayne County,16.0
MS,Webster County,17.3
MS,Wilkinson County,13.8
MS,Winston County,16.6
MS,Yalobusha County,14.2
MS,Yazoo County,14.6
MO,Missouri,28.6
MO,Adair County,30.0
MO,Andrew County,23.8
MO,Atchison County,22.5
MO,Audrain County,14.5
MO,Barry County,14.5
MO,Barton County,18.1
MO,Bates County,14.9
MO,Benton County,13.4
MO,Bollinger County,9.4
MO,Boone County,46.0
MO,Buchanan County,20.7
MO,Butler County,13.8
MO,Caldwell County,18.3
MO,Callaway County,22.2
MO,Camden County,21.8
MO,Cape Girardeau County,30.5
MO,Carroll County,17.0
MO,Carter County,16.5
MO,Cass County,26.1
MO,Cedar County,15.3
MO,Chariton County,18.4
MO,Christian County,28.2
MO,Clark County,13.5
MO,Clay County,32.7
MO,Clinton County,19.4
MO,Cole County,32.9
MO,Cooper County,21.4
MO,Crawford County,11.2
MO,Dade County,13.6
MO,Dallas County,12.4
MO,Daviess County,18.1
MO,DeKalb County,15.3
MO,Dent County,14.6
MO,Douglas County,10.5
MO,Dunklin County,13.1
MO,Franklin County,20.1
MO,Gasconade County,18.9
MO,Gentry County,18.0
MO,Greene County,30.2
MO,Grundy County,18.8
MO,Harrison County,16.2
MO,Henry County,15.5
MO,Hickory County,10.0
MO,Holt County,19.8
MO,Howard County,24.4
MO,Howell County,16.5
MO,Iron County,10.9
MO,Jackson County,30.9
MO,Jasper County,22.9
MO,Jefferson County,20.2
MO,Johnson County,28.4
MO,Knox County,15.8
MO,Laclede County,14.7
MO,Lafayette County,20.1
MO,Lawrence County,15.3
MO,Lewis County,14.0
MO,Lincoln County,15.9
MO,Linn County,15.4
MO,Livingston County,19.3
MO,McDonald County,11.8
MO,Macon County,15.7
MO,Madison County,15.1
MO,Maries County,14.1
MO,Marion County,20.9
MO,Mercer County,18.0
MO,Miller County,16.6
MO,Mississippi County,12.4
MO,Moniteau County,19.0
MO,Monroe County,12.8
MO,Montgomery County,13.7
MO,Morgan County,12.9
MO,New Madrid County,12.7
MO,Newton County,19.7
MO,Nodaway County,27.8
MO,Oregon County,12.2
MO,Osage County,18.9
MO,Ozark County,12.2
MO,Pemiscot County,12.1
MO,Perry County,16.0
MO,Pettis County,18.4
MO,Phelps County,29.5
MO,Pike County,16.1
MO,Platte County,41.8
MO,Polk County,20.3
MO,Pulaski County,25.9
MO,Putnam County,18.9
MO,Ralls County,13.6
MO,Randolph County,15.3
MO,Ray County,13.9
MO,Reynolds County,11.1
MO,Ripley County,10.9
MO,St. Charles County,37.8
MO,St. Clair County,13.4
MO,Ste. Genevieve County,17.7
MO,St. Francois County,14.0
MO,St. Louis County,43.2
MO,Saline County,18.0
MO,Schuyler County,11.6
MO,Scotland County,12.0
MO,Scott County,14.5
MO,Shannon County,15.8
MO,Shelby County,17.0
MO,Stoddard County,13.2
MO,Stone County,18.4
MO,Sullivan County,12.2
MO,Taney County,18.4
MO,Texas County,14.1
MO,Vernon County,17.7
MO,Warren County,18.6
MO,Washington County,9.4
MO,Wayne County,10.3
MO,Webster County,16.9
MO,Worth County,17.5
MO,Wright County,11.4
MO,St. Louis city,35.0
MT,Montana,31.2
MT,Beaverhead County,35.5
MT,Big Horn County,17.4
MT,Blaine County,21.8
MT,Broadwater County,27.0
MT,Carbon County,32.0
MT,Carter County,17.5
MT,Cascade County,26.0
MT,Chouteau County,27.3
MT,Custer County,22.5
MT,Daniels County,21.9
MT,Dawson County,21.0
MT,Deer Lodge County,17.4
MT,Fallon County,17.3
MT,Fergus County,28.9
MT,Flathead County,29.9
MT,Gallatin County,49.0
MT,Garfield County,16.8
MT,Glacier County,19.0
MT,Golden Valley County,25.9
MT,Granite County,26.6
MT,Hill County,24.5
MT,Jefferson County,34.0
MT,Judith Basin County,28.6
MT,Lake County,28.0
MT,Lewis and Clark County,38.6
MT,Liberty County,16.6
MT,Lincoln County,20.2
MT,McCone County,16.1
MT,Madison County,28.9
MT,Meagher County,26.1
MT,Mineral County,17.3
MT,Missoula County,42.5
MT,Musselshell County,14.1
MT,Park County,32.4
MT,Petroleum County,29.0
MT,Phillips County,20.5
MT,Pondera County,24.8
MT,Powder River County,26.4
MT,Powell County,21.0
MT,Prairie County,20.9
MT,Ravalli County,27.1
MT,Richland County,19.0
MT,Roosevelt County,17.1
MT,Rosebud County,18.0
MT,Sanders County,17.1
MT,Sheridan County,23.6
MT,Silver Bow County,26.4
MT,Stillwater County,25.3
MT,Sweet Grass County,25.5
MT,Teton County,24.4
MT,Toole County,14.5
MT,Treasure County,23.5
MT,Valley County,20.9
MT,Wheatland County,19.8
MT,Wibaux County,20.8
MT,Yellowstone County,31.0
MT,Yellowstone National Park,
NE,Nebraska,31.3
NE,Adams County,24.9
NE,Antelope County,19.1
NE,Arthur County,27.9
NE,Banner County,20.7
NE,Blaine County,22.7
NE,Boone County,20.6
NE,Box Butte County,18.2
NE,Boyd County,18.2
NE,Brown County,19.8
NE,Buffalo County,34.7
NE,Burt County,18.1
NE,Butler County,19.9
NE,Cass County,27.4
NE,Cedar County,19.4
NE,Chase County,20.8
NE,Cherry County,21.2
NE,Cheyenne County,26.2
NE,Clay County,18.4
NE,Colfax County,14.5
NE,Cuming County,23.2
NE,Custer County,20.9
NE,Dakota County,12.5
NE,Dawes County,37.0
NE,Dawson County,15.6
NE,Deuel County,15.8
NE,Dixon County,20.5
NE,Dodge County,18.6
NE,Douglas County,38.9
NE,Dundy County,19.4
NE,Fillmore County,19.9
NE,Franklin County,16.6
NE,Frontier County,20.0
NE,Furnas County,18.9
NE,Gage County,20.2
NE,Garden County,24.9
NE,Garfield County,22.2
NE,Gosper County,26.4
NE,Grant County,25.2
NE,Greeley County,17.4
NE,Hall County,20.9
NE,Hamilton County,26.0
NE,Harlan County,21.4
NE,Hayes County,18.1
NE,Hitchcock County,18.6
NE,Holt County,21.2
NE,Hooker County,23.9
NE,Howard County,20.5
NE,Jefferson County,15.3
NE,Johnson County,16.0
NE,Kearney County,22.7
NE,Keith County,20.7
NE,Keya Paha County,22.9
NE,Kimball County,18.2
NE,Knox County,21.7
NE,Lancaster County,38.8
NE,Lincoln County,22.1
NE,Logan County,19.7
NE,Loup County,23.2
NE,McPherson County,24.9
NE,Madison County,22.4
NE,Merrick County,17.4
NE,Morrill County,18.1
NE,Nance County,19.8
NE,Nemaha County,28.1
NE,Nuckolls County,19.1
NE,Otoe County,21.8
NE,Pawnee County,17.5
NE,Perkins County,25.8
NE,Phelps County,25.9
NE,Pierce County,22.3
NE,Platte County,22.2
NE,Polk County,21.1
NE,Red Willow County,18.8
NE,Richardson County,18.2
NE,Rock County,20.9
NE,Saline County,14.3
NE,Sarpy County,40.1
NE,Saunders County,25.4
NE,Scotts Bluff County,22.4
NE,Seward County,29.2
NE,Sheridan County,23.6
NE,Sherman County,18.2
NE,Sioux County,26.6
NE,Stanton County,16.6
NE,Thayer County,19.8
NE,Thomas County,24.0
NE,Thurston County,16.7
NE,Valley County,22.8
NE,Washington County,30.3
NE,Wayne County,34.5
NE,Webster County,22.6
NE,Wheeler County,17.3
NE,York County,28.1
NV,Nevada,24.2
NV,Churchill County,17.5
NV,Clark County,23.9
NV,Douglas County,28.9
NV,Elko County,18.2
NV,Esmeralda County,16.5
NV,Eureka County,11.7
NV,Humboldt County,16.3
NV,Lander County,11.6
NV,Lincoln County,17.7
NV,Lyon County,14.0
NV,Mineral County,14.4
NV,Nye County,11.5
NV,Pershing County,14.8
NV,Storey County,28.7
NV,Washoe County,30.5
NV,White Pine County,14.9
NV,Carson City,22.3
NH,New Hampshire,36.5
NH,Belknap County,32.4
NH,Carroll County,33.6
NH,Cheshire County,32.6
NH,Coos County,18.1
NH,Grafton County,40.5
NH,Hillsborough County,37.3
NH,Merrimack County,35.6
NH,Rockingham County,40.7
NH,Strafford County,35.6
NH,Sullivan County,26.8
NJ,New Jersey,38.9
NJ,Atlantic County,27.4
NJ,Bergen County,48.3
NJ,Burlington County,37.5
NJ,Camden County,31.8
NJ,Cape May County,31.5
NJ,Cumberland County,14.7
NJ,Essex County,34.8
NJ,Gloucester County,31.9
NJ,Hudson County,40.9
NJ,Hunterdon County,52.0
NJ,Mercer County,42.0
NJ,Middlesex County,42.7
NJ,Monmouth County,44.9
NJ,Morris County,53.6
NJ,Ocean County,29.2
NJ,Passaic County,28.1
NJ,Salem County,20.9
NJ,Somerset County,54.5
NJ,Sussex County,34.9
NJ,Union County,35.1
NJ,Warren County,31.8
NM,New Mexico,27.1
NM,Bernalillo County,33.9
NM,Catron County,22.2
NM,Chaves County,17.8
NM,Cibola County,13.4
NM,Colfax County,20.5
NM,Curry County,19.8
NM,De Baca County,9.8
NM,Dona Ana County,27.5
NM,Eddy County,15.9
NM,Grant County,27.3
NM,Guadalupe County,11.6
NM,Harding County,24.3
NM,Hidalgo County,14.2
NM,Lea County,13.0
NM,Lincoln County,29.3
NM,Los Alamos County,66.5
NM,Luna County,12.2
NM,McKinley County,11.6
NM,Mora County,11.2
NM,Otero County,19.0
NM,Quay County,15.8
NM,Rio Arriba County,18.5
NM,Roosevelt County,25.1
NM,Sandoval County,30.0
NM,San Juan County,15.2
NM,San Miguel County,22.7
NM,Santa Fe County,40.9
NM,Sierra County,20.5
NM,Socorro County,21.2
NM,Taos County,28.0
NM,Torrance County,15.6
NM,Union County,12.7
NM,Valencia County,17.1
NY,New York,35.9
NY,Albany County,41.3
NY,Allegany County,20.2
NY,Bronx County,19.8
NY,Broome County,28.3
NY,Cattaraugus County,19.1
NY,Cayuga County,22.3
NY,Chautauqua County,21.7
NY,Chemung County,23.9
NY,Chenango County,18.3
NY,Clinton County,22.9
NY,Columbia County,31.3
NY,Cortland County,26.9
NY,Delaware County,21.9
NY,Dutchess County,35.2
NY,Erie County,33.7
NY,Essex County,27.6
NY,Franklin County,19.4
NY,Fulton County,17.8
NY,Genesee County,21.5
NY,Greene County,22.1
NY,Hamilton County,19.3
NY,Herkimer County,21.0
NY,Jefferson County,22.3
NY,Kings County,36.5
NY,Lewis County,16.3
NY,Livingston County,25.4
NY,Madison County,27.0
NY,Monroe County,37.7
NY,Montgomery County,17.5
NY,Nassau County,45.2
NY,New York County,60.8
NY,Niagara County,23.8
NY,Oneida County,24.7
NY,Onondaga County,35.5
NY,Ontario County,34.5
NY,Orange County,29.8
NY,Orleans County,15.9
NY,Oswego County,18.6
NY,Otsego County,30.9
NY,Putnam County,39.9
NY,Queens County,31.5
NY,Rensselaer County,30.1
NY,Richmond County,33.0
NY,Rockland County,40.6
NY,St. Lawrence County,23.6
NY,Saratoga County,41.4
NY,Schenectady County,31.4
NY,Schoharie County,22.3
NY,Schuyler County,22.3
NY,Seneca County,20.9
NY,Steuben County,23.1
NY,Suffolk County,35.6
NY,Sullivan County,23.2
NY,Tioga County,25.5
NY,Tompkins County,52.7
NY,Ulster County,32.2
NY,Warren County,30.0
NY,Washington County,20.4
NY,Wayne County,22.3
NY,Westchester County,48.2
NY,Wyoming County,16.5
NY,Yates County,24.4
NC,North Carolina,30.5
NC,Alamance County,24.0
NC,Alexander County,14.7
NC,Alleghany County,16.7
NC,Anson County,9.6
NC,Ashe County,19.0
NC,Avery County,20.6
NC,Beaufort County,19.4
NC,Bertie County,13.4
NC,Bladen County,15.1
NC,Brunswick County,28.6
NC,Buncombe County,39.2
NC,Burke County,16.6
NC,Cabarrus County,31.2
NC,Caldwell County,15.3
NC,Camden County,17.9
NC,Carteret County,28.4
NC,Caswell County,15.5
NC,Catawba County,21.9
NC,Chatham County,41.3
NC,Cherokee County,19.2
NC,Chowan County,19.8
NC,Clay County,22.8
NC,Cleveland County,17.4
NC,Columbus County,13.1
NC,Craven County,25.7
NC,Cumberland County,25.0
NC,Currituck County,23.1
NC,Dare County,33.0
NC,Davidson County,18.5
NC,Davie County,22.9
NC,Duplin County,11.1
NC,Durham County,47.5
NC,Edgecombe County,12.7
NC,Forsyth County,33.8
NC,Franklin County,21.3
NC,Gaston County,20.6
NC,Gates County,14.4
NC,Graham County,13.5
NC,Granville County,22.3
NC,Greene County,10.5
NC,Guilford County,35.3
NC,Halifax County,14.4
NC,Harnett County,20.7
NC,Haywood County,25.0
NC,Henderson County,31.8
NC,Hertford County,14.6
NC,Hoke County,18.4
NC,Hyde County,9.4
NC,Iredell County,27.5
NC,Jackson County,30.5
NC,Johnston County,21.8
NC,Jones County,13.1
NC,Lee County,20.9
NC,Lenoir County,14.5
NC,Lincoln County,21.4
NC,McDowell County,16.9
NC,Macon County,24.2
NC,Madison County,27.6
NC,Martin County,16.8
NC,Mecklenburg County,44.8
NC,Mitchell County,18.8
NC,Montgomery County,14.7
NC,Moore County,36.9
NC,Nash County,20.9
NC,New Hanover County,39.3
NC,Northampton County,12.8
NC,Onslow County,21.4
NC,Orange County,57.6
NC,Pamlico County,19.4
NC,Pasquotank County,20.5
NC,Pender County,26.4
NC,Perquimans County,20.4
NC,Person County,15.3
NC,Pitt County,31.8
NC,Polk County,31.7
NC,Randolph County,15.8
NC,Richmond County,13.9
NC,Robeson County,13.2
NC,Rockingham County,15.0
NC,Rowan County,18.7
NC,Rutherford County,17.3
NC,Sampson County,12.8
NC,Scotland County,15.5
NC,Stanly County,15.8
NC,Stokes County,13.3
NC,Surry County,16.8
NC,Swain County,16.0
NC,Transylvania County,31.5
NC,Tyrrell County,9.7
NC,Union County,34.8
NC,Vance County,12.9
NC,Wake County,51.8
NC,Warren County,15.5
NC,Washington County,11.3
NC,Watauga County,41.6
NC,Wayne County,19.5
NC,Wilkes County,15.5
NC,Wilson County,19.6
NC,Yadkin County,11.3
NC,Yancey County,20.0
ND,North Dakota,29.5
ND,Adams County,28.6
ND,Barnes County,27.2
ND,Benson County,15.6
ND,Billings County,26.3
ND,Bottineau County,23.7
ND,Bowman County,24.3
ND,Burke County,22.3
ND,Burleigh County,35.1
ND,Cass County,39.4
ND,Cavalier County,21.2
ND,Dickey County,26.7
ND,Divide County,18.4
ND,Dunn County,21.0
ND,Eddy County,24.3
ND,Emmons County,16.5
ND,Foster County,24.1
ND,Golden Valley County,28.1
ND,Grand Forks County,34.5
ND,Grant County,17.4
ND,Griggs County,25.9
ND,Hettinger County,14.4
ND,Kidder County,17.9
ND,LaMoure County,24.0
ND,Logan County,16.4
ND,McHenry County,19.8
ND,McIntosh County,16.8
ND,McKenzie County,26.1
ND,McLean County,20.5
ND,Mercer County,21.6
ND,Morton County,26.3
ND,Mountrail County,20.6
ND,Nelson County,22.7
ND,Oliver County,18.7
ND,Pembina County,20.4
ND,Pierce County,19.2
ND,Ramsey County,26.1
ND,Ransom County,19.7
ND,Renville County,17.8
ND,Richland County,21.6
ND,Rolette County,20.0
ND,Sargent County,17.5
ND,Sheridan County,10.9
ND,Sioux County,16.2
ND,Slope County,26.5
ND,Stark County,22.9
ND,Steele County,27.5
ND,Stutsman County,23.5
ND,Towner County,18.2
ND,Traill County,26.8
ND,Walsh County,16.8
ND,Ward County,28.3
ND,Wells County,22.1
ND,Williams County,24.8
OH,Ohio,27.8
OH,Adams County,12.9
OH,Allen County,17.8
OH,Ashland County,21.1
OH,Ashtabula County,14.1
OH,Athens County,29.7
OH,Auglaize County,18.9
OH,Belmont County,16.2
OH,Brown County,14.2
OH,Butler County,29.8
OH,Carroll County,13.6
OH,Champaign County,14.9
OH,Clark County,18.6
OH,Clermont County,28.0
OH,Clinton County,18.7
OH,Columbiana County,14.8
OH,Coshocton County,12.5
OH,Crawford County,14.8
OH,Cuyahoga County,31.9
OH,Darke County,14.7
OH,Defiance County,16.7
OH,Delaware County,54.4
OH,Erie County,22.7
OH,Fairfield County,27.2
